term,tfidf
soule,0.01115290021971107
soules,0.01115290021971107
approach,0.01115290021971107
walke,0.01115290021971107
keepes,0.01115290021971107
hart,0.01115290021971107
de,0.01115290021971107
feele,0.01115290021971107
stood,0.01115290021971107
warre,0.01115290021971107
mans,0.01115290021971107
hauing,0.01115290021971107
start,0.01115290021971107
people,0.01115290021971107
fatall,0.01115290021971107
le,0.01115290021971107
thanke,0.01115290021971107
spoke,0.01115290021971107
heauens,0.01115290021971107
heauie,0.01115290021971107
laugh,0.01115290021971107
newes,0.01115290021971107
speech,0.01115290021971107
arme,0.01115290021971107
deuill,0.01115290021971107
whiles,0.01115290021971107
valiant,0.01115290021971107
owle,0.01115290021971107
quarta,0.01115290021971107
traitor,0.01115290021971107
gentlemen,0.01115290021971107
byrnane,0.01115290021971107
glamys,0.01115290021971107
bubble,0.01115290021971107
burne,0.01115290021971107
giues,0.01115290021971107
loues,0.01115290021971107
macbeths,0.01115290021971107
castle,0.01115290021971107
bosome,0.01115290021971107
childe,0.01115290021971107
throne,0.01115290021971107
generall,0.01115290021971107
glamis,0.01115290021971107
cheere,0.01115290021971107
moue,0.01115290021971107
liu,0.01115290021971107
either,0.01080831840562555
want,0.01080831840562555
taste,0.01080831840562555
crime,0.01080831840562555
account,0.01080831840562555
frame,0.01080831840562555
respect,0.01080831840562555
grant,0.01080831840562555
contented,0.01080831840562555
sense,0.01080831840562555
lease,0.01080831840562555
weeds,0.01080831840562555
shade,0.01080831840562555
bath,0.01080831840562555
forgot,0.01080831840562555
smell,0.01080831840562555
farther,0.01080831840562555
absent,0.01080831840562555
seeming,0.01080831840562555
weary,0.01080831840562555
win,0.01080831840562555
pluck,0.01080831840562555
pine,0.01058604516764507
pace,0.01058604516764507
sway,0.01058604516764507
nought,0.01058604516764507
defence,0.01058604516764507
edge,0.01058604516764507
teach,0.01058604516764507
ground,0.01058604516764507
forbid,0.01058604516764507
wear,0.01058604516764507
greet,0.01058604516764507
brought,0.01058604516764507
abuse,0.01058604516764507
course,0.01058604516764507
wonder,0.01058604516764507
foes,0.01058604516764507
fiend,0.010363771929664593
suffer,0.010363771929664593
guest,0.010363771929664593
bound,0.010363771929664593
hopes,0.010363771929664593
stage,0.010363771929664593
remembrance,0.010363771929664593
patience,0.010363771929664593
cast,0.010363771929664593
deny,0.010363771929664593
vantage,0.010363771929664593
doubt,0.010141498691684115
sides,0.010141498691684115
cut,0.010141498691684115
touch,0.010141498691684115
dye,0.010141498691684115
owe,0.010141498691684115
whole,0.010141498691684115
act,0.010141498691684115
become,0.010141498691684115
gate,0.010141498691684115
nine,0.010141498691684115
blow,0.010141498691684115
thanks,0.010141498691684115
went,0.010141498691684115
quick,0.009301867006126657
sins,0.009301867006126657
hot,0.009301867006126657
vulgar,0.009301867006126657
steel,0.009301867006126657
fingers,0.009301867006126657
heavenly,0.009301867006126657
cunning,0.009301867006126657
offence,0.009301867006126657
sinful,0.009301867006126657
twain,0.009301867006126657
simple,0.009301867006126657
rain,0.009301867006126657
lawful,0.009301867006126657
travel,0.009301867006126657
odour,0.009301867006126657
loved,0.009301867006126657
seemed,0.009301867006126657
favour,0.009301867006126657
cross,0.009301867006126657
drawn,0.009301867006126657
brief,0.009301867006126657
lovers,0.009301867006126657
stain,0.009301867006126657
weed,0.009301867006126657
unkind,0.009301867006126657
perjured,0.009301867006126657
painter,0.009301867006126657
receives,0.009301867006126657
fault,0.009301867006126657
princes,0.009301867006126657
approve,0.009301867006126657
dial,0.009301867006126657
vow,0.009301867006126657
heir,0.009301867006126657
style,0.009301867006126657
despised,0.009301867006126657
decease,0.009301867006126657
fame,0.009301867006126657
feel,0.009301867006126657
brave,0.009301867006126657
works,0.009301867006126657
sail,0.009301867006126657
record,0.009301867006126657
bastard,0.009301867006126657
